trade_id,client_id,instrument_id,ticker,trade_date,price,rolling_mean_20t,rolling_stddev_20t,z_score,is_anomaly
23854,2,26,MERIN1,2025-08-22,699.2586,369.144,75.8446,4.353,1
5009,23,25,FALTE3,2024-09-16,216.4389,187.8019,6.5868,4.348,1
37951,3,34,NORIN2,2026-04-28,48.3381,24.898,5.3929,4.347,1
39195,10,34,NORIN2,2026-05-14,91.2193,47.9745,9.9507,4.346,1
3095,22,10,HARIN3,2024-09-12,306.4339,271.8429,7.9677,4.341,1
5247,11,3,BLUAG3,2024-09-17,212.1741,188.6878,5.4187,4.334,1
23203,24,40,ZENCA1,2025-07-28,168.9786,250.6761,18.9056,-4.321,1
5027,23,7,QUACA3,2024-09-16,383.8932,359.346,5.6902,4.314,1
3009,9,32,DELIN7,2024-09-12,47.9219,43.9286,0.9276,4.305,1
5004,4,33,RIDPL0,2024-09-16,31.1922,29.3174,0.4357,4.303,1
5016,22,11,ORBAG4,2024-09-16,34.7122,33.1747,0.3586,4.288,1
1700,8,3,BLUAG3,2024-09-10,178.1947,159.1156,4.4506,4.287,1
20191,10,36,ANCSA3,2025-05-29,99.9259,158.9802,13.8093,-4.276,1
3003,9,7,QUACA3,2024-09-12,354.0414,336.8671,4.0193,4.273,1
4054,21,6,CYBIN4,2024-09-13,273.1291,259.0912,3.2913,4.265,1
4082,4,3,BLUAG3,2024-09-13,186.8819,177.4263,2.2216,4.256,1
5040,10,19,ORBTE0,2024-09-16,52.9686,55.8255,0.6713,-4.256,1
3002,6,34,NORIN2,2024-09-12,34.0321,35.8331,0.4244,-4.244,1
5077,10,1,AURHO3,2024-09-16,61.2259,58.2503,0.7012,4.243,1
5020,8,34,NORIN2,2024-09-16,32.7249,33.9081,0.2802,-4.223,1
4112,16,10,HARIN3,2024-09-13,319.8799,307.018,3.0574,4.207,1
28555,9,26,MERIN1,2025-10-30,882.1544,785.6601,23.0226,4.191,1
5849,4,28,BLUTE2,2024-09-25,142.6379,130.1318,2.9843,4.191,1
4048,10,11,ORBAG4,2024-09-13,33.2321,34.4223,0.2854,-4.171,1
33429,8,22,ANCIN3,2026-02-06,236.4691,217.4001,4.5764,4.167,1
4992,10,6,CYBIN4,2024-09-16,261.1943,271.7846,2.5453,-4.161,1
12824,18,1,AURHO3,2025-01-23,49.0698,46.0329,0.7347,4.134,1
22203,24,15,SILIN4,2025-07-04,369.5163,392.0919,5.4771,-4.122,1
3035,4,19,ORBTE0,2024-09-12,54.3888,52.4285,0.4759,4.119,1
21909,13,33,RIDPL0,2025-07-02,46.2397,42.6998,0.8604,4.114,1
4087,9,23,SILIN3,2024-09-13,89.8506,93.1814,0.8107,-4.109,1
4041,1,25,FALTE3,2024-09-13,185.6225,191.8024,1.5046,-4.107,1
26500,1,26,MERIN1,2025-09-19,846.2086,781.4124,15.8013,4.101,1
8420,9,25,FALTE3,2024-10-31,51.6467,131.5113,19.4851,-4.099,1
5010,1,24,CYBMA0,2024-09-16,90.5506,93.6205,0.7496,-4.095,1
25923,1,1,AURHO3,2025-09-17,40.9217,39.3991,0.3727,4.085,1
4277,7,32,DELIN7,2024-09-13,50.1537,48.4418,0.4204,4.072,1
3040,8,38,NORSA2,2024-09-12,308.2283,317.7329,2.3558,-4.034,1
22059,19,26,MERIN1,2025-07-03,408.1959,416.1304,1.9748,-4.018,1
37612,8,10,HARIN3,2026-04-20,148.0658,132.1505,3.9754,4.003,1
25373,18,23,SILIN3,2025-09-15,128.7705,126.1614,0.6534,3.993,1
16892,23,35,REDHO9,2025-03-12,289.3326,267.6722,5.4364,3.984,1
14157,10,3,BLUAG3,2025-01-30,214.4962,189.0307,6.3962,3.981,1
12798,4,3,BLUAG3,2025-01-23,194.4336,198.456,1.0148,-3.964,1
13122,11,38,NORSA2,2025-01-24,526.8871,553.0304,6.6068,-3.957,1
26829,5,1,AURHO3,2025-09-26,36.5453,38.1981,0.418,-3.954,1
30212,8,40,ZENCA1,2025-12-04,192.522,181.5517,2.7815,3.944,1
6092,23,12,IROAG7,2024-09-30,87.5774,81.7064,1.4918,3.936,1
14352,1,34,NORIN2,2025-02-04,34.4015,31.4851,0.7427,3.927,1
