trade_id,client_id,instrument_id,trade_date,side,raw_quantity,adjustment_factor,adjusted_quantity,running_adjusted_position
368,1,1,2024-08-19,BUY,13.0,1.0,13.0,13.0
2839,1,1,2024-09-11,BUY,20.0,1.0,20.0,33.0
6726,1,1,2024-10-11,BUY,47.0,1.0,47.0,80.0
7662,1,1,2024-10-24,SELL,18.0,1.0,18.0,62.0
10016,1,1,2024-12-04,BUY,6.0,1.0,6.0,68.0
10395,1,1,2024-12-13,SELL,24.0,1.0,24.0,44.0
13819,1,1,2025-01-28,BUY,37.0,1.0,37.0,81.0
22010,1,1,2025-07-02,BUY,6.0,1.0,6.0,87.0
23655,1,1,2025-08-14,SELL,20.0,1.0,20.0,67.0
24836,1,1,2025-09-11,BUY,17.0,1.0,17.0,84.0
25859,1,1,2025-09-16,SELL,21.0,1.0,21.0,63.0
25923,1,1,2025-09-17,BUY,11.0,1.0,11.0,74.0
27285,1,1,2025-10-06,BUY,17.0,1.0,17.0,91.0
27372,1,1,2025-10-07,BUY,25.0,1.0,25.0,116.0
33839,1,1,2026-02-16,BUY,10.0,1.0,10.0,126.0
797,1,2,2024-09-03,BUY,11.0,1.0,11.0,11.0
3306,1,2,2024-09-12,SELL,11.0,1.0,11.0,0.0
4607,1,2,2024-09-13,BUY,16.0,1.0,16.0,16.0
5534,1,2,2024-09-18,BUY,81.0,1.0,81.0,97.0
7700,1,2,2024-10-24,BUY,30.0,1.0,30.0,127.0
8431,1,2,2024-10-31,BUY,13.0,1.0,13.0,140.0
11405,1,2,2025-01-06,BUY,50.0,1.0,50.0,190.0
19010,1,2,2025-04-30,BUY,24.0,1.0,24.0,214.0
26985,1,2,2025-09-30,SELL,41.0,1.0,41.0,173.0
29855,1,2,2025-11-26,BUY,16.0,1.0,16.0,189.0
31480,1,2,2026-01-05,SELL,21.0,1.0,21.0,168.0
33722,1,2,2026-02-12,SELL,11.0,1.0,11.0,157.0
36545,1,2,2026-04-10,BUY,10.0,1.0,10.0,167.0
39097,1,2,2026-05-13,BUY,46.0,1.0,46.0,213.0
41583,1,2,2026-07-23,BUY,19.0,1.0,19.0,232.0
41595,1,2,2026-07-23,SELL,19.0,1.0,19.0,213.0
2876,1,3,2024-09-11,BUY,10.0,1.0,10.0,10.0
2986,1,3,2024-09-11,BUY,34.0,1.0,34.0,44.0
